"Unnamed","name","frameTime","F0semitoneFrom27.5Hz_sma3nz_amean","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","F0semitoneFrom27.5Hz_sma3nz_percentile20.0","F0semitoneFrom27.5Hz_sma3nz_percentile50.0","F0semitoneFrom27.5Hz_sma3nz_percentile80.0","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","loudness_sma3_amean","loudness_sma3_stddevNorm","loudness_sma3_percentile20.0","loudness_sma3_percentile50.0","loudness_sma3_percentile80.0","loudness_sma3_pctlrange0-2","loudness_sma3_meanRisingSlope","loudness_sma3_stddevRisingSlope","loudness_sma3_meanFallingSlope","loudness_sma3_stddevFallingSlope","spectralFlux_sma3_amean","spectralFlux_sma3_stddevNorm","mfcc1_sma3_amean","mfcc1_sma3_stddevNorm","mfcc2_sma3_amean","mfcc2_sma3_stddevNorm","mfcc3_sma3_amean","mfcc3_sma3_stddevNorm","mfcc4_sma3_amean","mfcc4_sma3_stddevNorm","jitterLocal_sma3nz_amean","jitterLocal_sma3nz_stddevNorm","shimmerLocaldB_sma3nz_amean","shimmerLocaldB_sma3nz_stddevNorm","HNRdBACF_sma3nz_amean","HNRdBACF_sma3nz_stddevNorm","logRelF0-H1-H2_sma3nz_amean","logRelF0-H1-H2_sma3nz_stddevNorm","logRelF0-H1-A3_sma3nz_amean","logRelF0-H1-A3_sma3nz_stddevNorm","F1frequency_sma3nz_amean","F1frequency_sma3nz_stddevNorm","F1bandwidth_sma3nz_amean","F1bandwidth_sma3nz_stddevNorm","F1amplitudeLogRelF0_sma3nz_amean","F1amplitudeLogRelF0_sma3nz_stddevNorm","F2frequency_sma3nz_amean","F2frequency_sma3nz_stddevNorm","F2bandwidth_sma3nz_amean","F2bandwidth_sma3nz_stddevNorm","F2amplitudeLogRelF0_sma3nz_amean","F2amplitudeLogRelF0_sma3nz_stddevNorm","F3frequency_sma3nz_amean","F3frequency_sma3nz_stddevNorm","F3bandwidth_sma3nz_amean","F3bandwidth_sma3nz_stddevNorm","F3amplitudeLogRelF0_sma3nz_amean","F3amplitudeLogRelF0_sma3nz_stddevNorm","alphaRatioV_sma3nz_amean","alphaRatioV_sma3nz_stddevNorm","hammarbergIndexV_sma3nz_amean","hammarbergIndexV_sma3nz_stddevNorm","slopeV0-500_sma3nz_amean","slopeV0-500_sma3nz_stddevNorm","slopeV500-1500_sma3nz_amean","slopeV500-1500_sma3nz_stddevNorm","spectralFluxV_sma3nz_amean","spectralFluxV_sma3nz_stddevNorm","mfcc1V_sma3nz_amean","mfcc1V_sma3nz_stddevNorm","mfcc2V_sma3nz_amean","mfcc2V_sma3nz_stddevNorm","mfcc3V_sma3nz_amean","mfcc3V_sma3nz_stddevNorm","mfcc4V_sma3nz_amean","mfcc4V_sma3nz_stddevNorm","alphaRatioUV_sma3nz_amean","hammarbergIndexUV_sma3nz_amean","slopeUV0-500_sma3nz_amean","slopeUV500-1500_sma3nz_amean","spectralFluxUV_sma3nz_amean","loudnessPeaksPerSec","VoicedSegmentsPerSec","MeanVoicedSegmentLengthSec","StddevVoicedSegmentLengthSec","MeanUnvoicedSegmentLength","StddevUnvoicedSegmentLength","equivalentSoundLevel_dBp","ID","story_type","condition","trial","country","feature_set"
"1","'unknown'",0,24.46582,0.1229712,22.63789,24.24097,25.56139,2.9235,34.85918,43.11558,78.57436,192.5854,0.6936433,0.8757741,0.1386479,0.5067915,1.231091,1.092444,12.67269,8.73402,7.961229,5.137438,0.4151363,1.125792,22.83793,0.696435,3.697989,3.355841,14.19912,1.067518,-4.64236,-2.491569,0.01911419,1.099739,1.199883,0.5517705,4.144842,0.5411186,2.879914,2.322136,27.53837,0.3301138,560.3182,0.3631683,1368.102,0.1563923,-125.5602,-0.7447228,1657.012,0.1480115,1030.686,0.2789069,-130.8831,-0.6561266,2712.318,0.09218635,963.8478,0.3474678,-132.4697,-0.6326686,-17.93718,-0.4339907,27.15578,0.2987737,0.03216449,0.6760234,-0.02817686,-0.5652978,0.7115888,0.6132796,35.39519,0.2958175,6.284101,1.957234,22.0411,0.7113453,-7.600721,-1.709406,-6.076243,14.90021,0.03209551,-0.0001699209,0.2290608,2.362476,1.605386,0.2308602,0.1950388,0.3883146,0.5761852,-19.09984,"101A",NA,"stories","1","dk","egemap"
"2","'unknown'",0,36.61245,0.1261663,36.21217,37.22016,38.51088,2.29871,356.7231,754.7679,57.71923,61.29213,0.386896,0.8206245,0.1255136,0.2790529,0.6241623,0.4986487,5.03453,3.458738,2.985664,2.031099,0.1629059,1.072902,21.94672,0.5630246,4.374303,2.697608,12.97827,1.023158,-11.14355,-1.563041,0.02085514,1.35739,1.154288,0.5232833,8.680467,0.3982835,13.94118,1.128431,28.47879,0.4096726,709.8536,0.2776647,1397.774,0.1668741,-107.4366,-0.8429796,1802.572,0.1199082,1092.337,0.3366084,-107.4234,-0.7781788,2849.439,0.08462442,974.6116,0.3395168,-109.7026,-0.741822,-18.13931,-0.4797116,27.72445,0.3895884,0.06516536,0.4783564,-0.02140061,-0.6773133,0.2540442,0.6727185,29.87659,0.3264008,4.639548,3.047491,13.8857,1.132152,-19.63703,-0.8673775,-7.009709,14.55397,0.0261179,0.00547203,0.05518122,1.714898,1.79019,0.2928,0.2459434,0.284186,0.3807962,-26.43464,"107A",NA,"stories","1","dk","egemap"
"3","'unknown'",0,36.02273,0.1831534,36.01967,37.2803,39.03722,3.017548,352.1813,893.9444,57.28777,62.57069,0.3488061,0.7906501,0.1127049,0.2428618,0.5612046,0.4484997,5.162756,3.134226,2.841029,2.186095,0.1523223,1.163475,21.75704,0.5881198,2.816647,3.899282,9.532062,1.458024,-9.963543,-1.778751,0.02569576,1.424716,1.279382,0.5065467,7.536609,0.5033389,13.341,1.388799,28.0894,0.4401464,725.3155,0.2832419,1386.872,0.1909344,-114.827,-0.7913297,1787.315,0.1267435,1089.283,0.3099239,-112.8724,-0.7530046,2869.949,0.08594709,994.1248,0.3591161,-115.6697,-0.7095966,-17.12888,-0.5319169,27.75988,0.4052954,0.05817415,0.6471161,-0.01991536,-0.7792754,0.2486752,0.7294647,29.99029,0.3596459,2.923676,4.6027,10.30032,1.646155,-19.2862,-0.9488466,-6.641474,14.79983,0.02397904,0.006623869,0.05452027,1.896879,1.846738,0.2629907,0.211502,0.2811224,0.4294416,-27.32268,"107A",NA,"stories","2","dk","egemap"
"4","'unknown'",0,36.37212,0.02791812,35.60677,36.32896,37.26574,1.658978,49.18526,49.70817,12.79265,4.076922,0.4929338,0.6112624,0.2416456,0.3348702,0.7940621,0.5524166,4.73524,2.736864,1.840336,2.103418,0.1890117,1.187646,11.66064,0.8447757,-3.324999,-3.442272,17.89368,0.6597804,-10.47828,-1.285629,0.01745989,0.7456266,1.084332,0.5165638,9.272835,0.3181036,11.5202,0.9463021,18.81952,0.8098411,824.5146,0.2957458,1305.488,0.2178896,-129.3459,-0.6706319,1840.262,0.122513,1132.244,0.5683089,-127.7244,-0.6461566,2837.432,0.07441274,864.9574,0.3683993,-127.2199,-0.653105,-16.30757,-0.4509561,25.12053,0.3070011,0.0578791,0.5829182,-0.01114555,-1.3289,0.3738496,0.61821,20.46886,0.4443862,7.068811,1.267854,23.96979,0.5644863,-16.77242,-1.090924,2.196213,3.651416,0.03115357,0.01444525,0.04157934,2.341137,1.365188,0.305,0.1844587,0.4075,0.424404,-23.0569,"108A",NA,"stories","1","dk","egemap"
"5","'unknown'",0,38.81419,0.03840002,37.77629,38.84695,39.6599,1.883617,49.96995,74.31698,112.0049,184.768,0.9318383,0.720769,0.3686832,0.7470172,1.377871,1.009188,8.699574,6.158837,4.264387,2.412418,0.4462471,1.055123,15.79579,0.8828592,-0.264221,-52.23492,4.539865,3.225899,-18.35802,-0.7290246,0.01745844,1.093279,1.018847,0.5611698,9.152881,0.4900668,11.43159,1.049396,26.41489,0.4377672,738.2619,0.2650788,1349.396,0.1412181,-84.56946,-1.070711,1797.906,0.1146441,1022.43,0.3323148,-82.43216,-1.00693,2853.486,0.09550437,976.616,0.3798298,-86.44343,-0.9252594,-15.50543,-0.5750312,25.4349,0.3445621,0.06673175,0.3278958,-0.02628056,-0.6518577,0.6070737,0.8138646,22.85882,0.436742,1.457526,10.80194,3.316249,5.016927,-22.74059,-0.5727969,1.04642,4.587908,0.03601392,0.0006432906,0.1318809,2.092812,1.097896,0.5958333,0.3571521,0.3227273,0.407879,-17.76883,"108A",NA,"stories","2","dk","egemap"
"6","'unknown'",0,35.18856,0.1040308,34.53742,35.745,37.38152,2.844105,209.0657,299.5119,58.62011,75.58718,0.4488623,0.7595929,0.1427584,0.3860639,0.6856049,0.5428465,5.199094,3.776651,3.294573,2.094872,0.2017881,1.033902,25.64808,0.5454084,2.304312,5.433267,11.54948,1.122624,-7.621899,-1.874623,0.02512374,1.985413,1.12584,0.6354488,8.407167,0.4322858,11.28363,0.9081323,31.17896,0.3689443,660.7483,0.307155,1417.066,0.1559212,-120.5311,-0.7593526,1756.372,0.1250639,1065.761,0.2803437,-120.4898,-0.7080891,2852.123,0.09608908,1047.816,0.3089743,-124.0617,-0.6566882,-19.17496,-0.4382908,29.17226,0.3539707,0.06240768,0.3504758,-0.02212933,-0.7519883,0.3252102,0.6827223,35.41069,0.3116061,4.314963,3.305966,12.95268,1.154881,-12.16496,-1.228592,-7.698014,15.15139,0.02905131,-2.064875e-05,0.09743907,1.690238,1.45178,0.3061905,0.2910977,0.3621429,0.432146,-24.85525,"109A",NA,"stories","1","dk","egemap"
"7","'unknown'",0,34.24366,0.1509103,34.14537,35.82738,37.22046,3.075085,202.9532,204.534,104.6886,219.4546,0.3735583,0.6937913,0.1305645,0.3089944,0.5966434,0.4660789,4.018445,3.369313,2.647454,1.61088,0.1719157,1.02055,25.26439,0.5427931,4.712661,2.257221,9.688277,1.383306,-8.886683,-1.688186,0.02712997,1.789836,1.26476,0.5558366,7.521789,0.5069611,10.05484,1.238261,32.58508,0.3394779,670.437,0.2639056,1428.528,0.1377765,-132.0802,-0.6768883,1777.642,0.1228505,1081.198,0.3095105,-133.9915,-0.6157033,2876.952,0.08698434,992.1191,0.3222391,-136.5083,-0.5808433,-20.17933,-0.3520579,30.02975,0.2648378,0.05923787,0.4286987,-0.02720571,-0.5364756,0.2943347,0.5966135,36.15094,0.249906,6.237939,1.927171,10.49156,1.526524,-17.76805,-0.7732115,-9.439366,17.55456,0.02229216,-0.003380571,0.09638835,2.026849,1.71504,0.2136923,0.1646775,0.3716393,0.4607733,-26.73312,"109A",NA,"stories","2","dk","egemap"
"8","'unknown'",0,32.18161,0.1225022,32.64255,33.37675,34.15816,1.51561,175.929,150.7543,45.29915,22.50697,0.6323258,0.454479,0.4132144,0.5703046,0.8405211,0.4273067,5.582372,4.252974,3.63428,1.991027,0.3234171,0.6530114,33.94986,0.3729045,9.254004,1.430968,17.39452,0.6882797,-17.52304,-0.8252675,0.03030432,1.688648,1.19063,0.637678,7.557585,0.4310797,2.032367,4.71406,30.92068,0.3322535,655.541,0.2587384,1406.71,0.1193454,-58.0439,-1.383898,1818.013,0.1230806,1034.507,0.3260927,-69.38631,-1.037525,2899.934,0.08916841,1029.348,0.3801631,-73.06372,-0.956203,-21.71364,-0.3323115,29.43481,0.2874041,0.0484654,0.3701526,-0.03580076,-0.3513796,0.3376551,0.621985,37.51166,0.2167765,8.936768,1.503321,17.35939,0.6825044,-16.84985,-0.9125056,-13.61009,20.51412,0.04107814,-0.02574076,0.282042,3.114572,2.463606,0.295,0.2514458,0.09899999,0.05539855,-21.83844,"110A",NA,"stories","1","dk","egemap"
"9","'unknown'",0,34.65172,0.05192148,33.77614,34.53334,35.89484,2.118706,61.6252,87.80112,23.89274,37.14084,0.7668743,0.6389052,0.2851025,0.6884339,1.167485,0.882382,10.56256,10.40209,7.155271,10.67088,0.3520947,0.9125298,25.52087,0.6130558,0.5573304,25.54956,7.983188,2.1255,-22.82072,-0.7257306,0.01600943,1.544145,0.9782196,0.5965973,8.82827,0.3749133,1.490816,7.29331,28.44627,0.4040818,715.3499,0.2326566,1348.597,0.1551093,-87.52044,-1.073835,1831.809,0.1290629,982.6714,0.3530582,-93.32713,-0.9194092,2922.412,0.08690263,894.1336,0.4214433,-96.57251,-0.8613403,-17.75672,-0.4658795,27.73348,0.3700584,0.06115212,0.3090138,-0.03444631,-0.448254,0.4007332,0.5917763,33.20059,0.3110952,4.113566,3.085465,8.448447,2.288524,-29.29642,-0.4701461,-2.918603,11.6407,0.03179856,-0.005044147,0.2819742,2.183804,1.463861,0.400625,0.2251241,0.2985714,0.3055874,-20.33112,"110A",NA,"stories","2","dk","egemap"
"10","'unknown'",0,36.56519,0.07201943,34.72408,36.22306,38.54635,3.822269,50.83887,78.05835,28.69716,57.38792,0.8584555,0.7825251,0.1808322,0.7225478,1.45429,1.273457,12.71219,11.09904,6.122757,4.332079,0.4610282,1.046049,24.7082,0.5284582,0.536765,26.99907,8.541412,1.512802,-20.33203,-0.8646283,0.0168473,1.44744,1.023221,0.6426937,9.356451,0.3709026,10.42735,0.933062,30.45036,0.3220752,688.7181,0.2802816,1413.331,0.1502855,-80.86884,-1.149382,1774.356,0.1059929,1041.355,0.3291182,-84.52592,-0.9938562,2868.315,0.0780558,893.0401,0.4346274,-87.90724,-0.9265777,-18.54003,-0.4124571,27.64562,0.3515469,0.08357577,0.2349941,-0.03474914,-0.3908274,0.6495317,0.7297761,31.1796,0.3169281,0.1821986,87.39642,9.631046,1.549598,-27.56663,-0.5896761,-6.164893,13.75944,0.03947677,-0.001629258,0.1093997,1.975494,1.301953,0.4890385,0.4240838,0.2855319,0.4576387,-17.00388,"112A",NA,"stories","1","dk","egemap"
